Date,Ticker,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter  (mrq),Profit Margin,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly),52 Week Range3,S&P 500 52-Week Change3,52 Week High3,52 Week Low3,50-Day Moving Average3,200-Day Moving Average3,Avg Vol (3 month)3,Avg Vol (10 day)3,Shares Outstanding5,Implied Shares Outstanding6,Float8,% Held by Insiders1,% Held by Institutions1,Shares Short (6/28/2024)4,Short Ratio (6/28/2024)4,Short % of Float (6/28/2024)4,Short % of Shares Outstanding (6/28/2024)4,Shares Short (prior month 5/31/2024)4,Forward Annual Dividend Rate4,Forward Annual Dividend Yield4,Trailing Annual Dividend Rate3,Trailing Annual Dividend Yield3,5 Year Average Dividend Yield4,Payout Ratio4,Dividend Date3,Ex-Dividend Date4,Last Split Factor2,Last Split Date3,Shares Short (8/31/2018)4,Short Ratio (8/31/2018)4,Short % of Float (8/31/2018)4,Short % of Shares Outstanding (8/31/2018)4,Shares Short (prior month 7/31/2018)4,Shares Short4,Short Ratio4,Short % of Float4,Short % of Shares Outstanding4,Shares Short (prior month )4
2024-07-23,BEN,12.38B,21.42B,13.61,8.29,1.51,1.44,0.96,2.64,10.99,9/30/2023,3/31/2024,11.09%,13.41%,2.99%,7.75%,8.1B,16.32,11.70%,--,1.94B,861.2M,1.73,-36.00%,3.3B,6.27,4.02B,27.13%,5.14,24.44,1.35B,-910.26M,1.45,-19.60%,21.83%,30.32,21.57,23.09,25.30,3.9M,3.52M,526.09M,526.09M,311.42M,46.33%,50.89%,18.41M,5.39,5.85%,3.50%,18.73M,1.24,5.27%,1.22,5.18%,4.39,70.52%,7/12/2024,6/28/2024,3:1,7/26/2013,,,,,,,,,,
2024-07-23,FCX,66.09B,70.31B,40.36,28.74,--,2.79,3.89,2.96,7.94,12/31/2023,3/31/2024,6.97%,25.85%,7.39%,14.38%,23.79B,16.58,17.30%,--,8.69B,1.65B,1.14,-28.70%,5.21B,3.63,9.43B,33.54%,2.35,11.82,6.13B,-192.5M,1.92,5.31%,21.83%,55.24,32.83,50.46,43.17,13.24M,10.65M,1.44B,1.44B,1.43B,0.63%,83.60%,21.64M,1.72,1.51%,1.51%,25.57M,0.6,1.30%,0.6,1.30%,3.73,52.63%,8/1/2024,7/15/2024,2:1,2/2/2011,,,,,,,,,,
2024-07-23,GRMN,33.18B,31.09B,24.36,33.22,6.51,6.08,4.58,5.69,22.65,12/30/2023,3/30/2024,24.96%,21.60%,9.12%,19.97%,5.46B,28.52,20.40%,--,1.37B,1.36B,7.08,36.40%,2.2B,11.44,140.36M,1.94%,4.04,37.72,1.53B,1.05B,1.00,62.20%,21.83%,175.01,99.61,164.92,137.80,726.9k,714.9k,192.08M,192.9M,154.42M,19.56%,55.55%,2.29M,3.49,1.48%,1.19%,2.44M,3,1.74%,2.92,1.69%,2.40,41.18%,3/28/2025,9/12/2024,2:1,8/16/2006,,,,,,,,,,
2024-07-23,IT,36.62B,38.33B,46.84,39.53,--,6.27,50.99,6.42,28.52,12/31/2023,3/31/2024,13.35%,18.66%,9.34%,133.87%,5.97B,75.85,4.50%,--,1.27B,797.23M,10.05,-28.80%,1.24B,16.01,2.95B,410.49%,0.91,9.18,1.18B,1.08B,1.33,29.65%,21.83%,486.54,323.61,443.93,436.95,416.05k,302.72k,77.63M,77.63M,75.18M,3.00%,93.37%,1.28M,2.73,1.93%,1.65%,1.19M,--,--,0.0,0.00%,--,0.00%,--,7/19/1999,2:1,4/1/1996,,,,,,,,,,
2024-07-23,GE,178.16B,176.50B,42.83,40.49,1.96,2.58,5.97,2.54,20.09,12/31/2023,3/31/2024,5.05%,9.61%,2.43%,13.64%,69.52B,63.81,10.80%,--,8.48B,4.19B,3.79,-79.50%,20.28B,18.53,22.43B,72.12%,1.17,27.27,6.43B,6.14B,1.22,74.07%,21.83%,177.16,84.22,161.77,126.64,5.74M,5.33M,1.09B,1.09B,1.09B,0.22%,77.14%,13.73M,2.2,1.26%,1.25%,13.38M,1.12,0.69%,0.52,0.32%,0.42,6.32%,7/25/2024,7/11/2024,1253:1000,4/2/2024,,,,,,,,,,
2024-07-23,GEHC,37.08B,44.20B,23.61,18.94,2.06,1.91,5.01,2.27,12.73,12/31/2023,3/31/2024,8.05%,13.85%,5.62%,22.39%,19.5B,42.80,-1.20%,--,3.52B,1.57B,3.44,0.50%,2.55B,5.59,9.67B,127.23%,1.06,16.23,2.05B,1.79B,--,1.27%,21.83%,94.50,62.35,78.98,78.39,2.8M,2.64M,456.46M,456.46M,425.1M,6.94%,77.56%,12.31M,4.02,3.43%,2.70%,11.64M,0.12,0.15%,0.12,0.15%,--,3.49%,8/15/2024,7/19/2024,--,--,,,,,,,,,,
2024-07-23,GEV,45.71B,44.78B,--,50.0,--,1.36,5.09,1.33,33.98,12/31/2023,3/31/2024,-0.75%,-0.17%,--,--,33.68B,122.87,6.40%,--,755M,-253M,-1.3,--,3.26B,11.88,1.02B,10.23%,0.99,32.74,1.43B,--,--,17.42%,21.83%,185.50,119.00,170.93,161.18,3.29M,2.77M,274.09M,274.09M,273.99M,0.08%,47.67%,6.84M,1.89,--,2.50%,6.81M,--,--,0.0,0.00%,--,0.00%,--,--,--,--,,,,,,,,,,
2024-07-23,GEN,15.99B,23.79B,26.59,11.65,0.69,4.3,7.28,6.24,14.75,3/29/2024,3/29/2024,16.16%,43.64%,5.99%,28.02%,3.81B,5.98,2.10%,--,1.78B,616M,0.96,-85.40%,846M,1.35,8.65B,393.95%,0.51,3.53,2.06B,976.5M,1.04,30.26%,21.83%,25.92,16.38,24.64,21.92,5.4M,2.85M,626.15M,626.15M,568.57M,9.08%,86.59%,22.38M,3.4,4.63%,3.57%,18.44M,0.5,1.96%,0.5,1.96%,2.14,52.08%,6/12/2024,5/17/2024,2:1,12/1/2004,,,,,,,,,,
2024-07-23,GNRC,9.68B,11.15B,44.26,26.32,1.59,2.45,4.09,2.77,19.44,12/31/2023,3/31/2024,5.68%,7.52%,4.95%,9.71%,4.02B,66.14,0.20%,--,577.6M,223.22M,3.61,111.00%,249.36M,4.11,1.63B,68.41%,2.29,39.19,652.13M,466.26M,1.37,8.23%,21.83%,161.80,79.86,143.70,123.94,942.06k,988.73k,60.61M,60.61M,59.56M,1.69%,93.33%,3.09M,3.88,5.94%,5.10%,3.5M,--,--,0.0,0.00%,--,0.00%,6/21/2013,6/10/2013,--,--,,,,,,,,,,
2024-07-23,GD,79.90B,89.92B,23.75,20.04,1.84,1.86,3.73,2.09,16.87,12/31/2023,3/31/2024,7.85%,9.75%,4.59%,16.71%,43.12B,157.95,8.60%,--,4.79B,3.38B,12.26,9.50%,1.04B,3.78,11.06B,51.67%,1.44,78.16,2.97B,740M,0.60,33.58%,21.83%,302.75,213.47,293.17,269.92,1.03M,948.97k,274.36M,274.36M,256.29M,0.50%,85.92%,1.99M,2.1,0.81%,0.72%,1.95M,5.68,1.95%,5.38,1.85%,2.34,43.88%,8/9/2024,7/5/2024,2:1,3/27/2006,,,,,,,,,,
2024-07-23,GIS,36.06B,48.95B,14.99,14.35,2.08,1.89,3.84,2.47,12.00,5/26/2024,5/26/2024,12.57%,19.33%,7.49%,24.75%,19.86B,34.50,-6.30%,--,4.32B,2.5B,4.31,-9.30%,418M,0.75,13.32B,138.00%,0.65,16.81,3.3B,1.84B,0.09,-16.01%,21.83%,77.40,60.33,66.54,65.95,3.91M,3.36M,558.15M,558.15M,555.48M,0.22%,79.83%,17.12M,3.31,3.07%,3.07%,15.77M,2.4,3.72%,2.36,3.65%,3.21,54.76%,8/1/2024,7/10/2024,2:1,6/9/2010,,,,,,,,,,
2024-07-23,GM,56.52B,153.27B,6.05,5.22,3.48,0.37,0.85,0.88,6.36,12/31/2023,3/31/2024,6.13%,8.88%,2.47%,14.43%,174.87B,134.13,7.60%,--,16.88B,10.62B,8.19,24.40%,20.48B,17.95,124.62B,176.52%,1.16,60.54,21B,-2B,1.44,30.70%,21.83%,50.50,26.30,46.46,39.06,13.29M,12.6M,1.14B,1.17B,1.14B,0.26%,93.09%,50.39M,3.07,5.04%,4.42%,58.3M,0.48,0.97%,0.39,0.79%,4.06,4.76%,6/20/2024,6/7/2024,--,--,,,,,,,,,,
2024-07-23,GPC,19.27B,23.17B,15.43,14.01,2.42,0.84,4.38,1.0,11.13,12/31/2023,3/31/2024,5.46%,7.23%,6.36%,30.19%,23.11B,165.04,0.30%,--,2.15B,1.26B,8.97,-18.10%,1.05B,7.53,4.95B,111.95%,1.13,31.60,1.56B,894.81M,0.93,-12.33%,21.83%,164.45,126.35,142.60,143.49,956.94k,1.31M,139.3M,139.3M,138.67M,0.34%,81.13%,2.7M,3.04,2.22%,1.94%,2.03M,4,2.89%,3.85,2.78%,2.75,42.92%,7/1/2024,6/7/2024,3:2,4/15/1997,,,,,,,,,,
2024-07-23,GILD,90.21B,110.69B,201.14,18.9,0.90,3.31,5.14,4.03,23.14,12/31/2023,3/31/2024,1.77%,34.43%,10.50%,2.39%,27.45B,22.00,5.30%,--,12.66B,485M,0.36,--,5.52B,4.43,25.19B,144.34%,1.08,14.08,8.48B,8.35B,0.20,-6.24%,21.83%,87.87,62.07,67.29,73.49,7.67M,6.42M,1.25B,1.25B,1.24B,0.11%,87.85%,23M,2.43,1.85%,1.85%,25.43M,3.08,4.25%,3.02,4.17%,4.03,838.89%,6/27/2024,6/14/2024,2:1,1/28/2013,,,,,,,,,,
2024-07-23,GPN,25.61B,41.69B,19.95,8.64,0.36,2.67,1.15,4.26,10.22,12/31/2023,3/31/2024,13.40%,21.95%,2.91%,5.91%,9.78B,37.69,5.60%,--,4.17B,1.31B,5.03,--,2.17B,8.49,18.24B,79.37%,0.92,87.08,2.07B,2.04B,0.98,-10.05%,21.83%,141.78,91.60,99.92,117.74,2.52M,2.38M,255.25M,255.25M,253.26M,0.85%,93.41%,5.96M,2.19,2.35%,2.34%,6.49M,1,1.00%,1.0,1.00%,0.59,19.88%,6/28/2024,6/14/2024,2:1,11/3/2015,,,,,,,,,,
2024-07-23,GL,8.21B,10.49B,8.51,10.44,--,1.54,1.63,1.9,--,12/31/2023,3/31/2024,18.07%,24.26%,3.03%,22.54%,5.54B,58.67,7.20%,--,1.36B,1B,10.46,13.70%,141.96M,1.54,2.67B,52.92%,0.50,53.56,1.36B,1.33B,0.80,-22.00%,21.83%,132.00,38.95,83.65,105.74,1.94M,854.98k,92.27M,92.27M,89.94M,2.23%,87.46%,2.72M,1.56,3.39%,2.95%,3.07M,0.96,1.08%,0.92,1.03%,0.80,8.75%,8/1/2024,7/5/2024,3:2,7/2/2014,,,,,,,,,,
2024-07-23,GDDY,20.74B,24.00B,12.75,32.79,--,5.06,50.01,5.55,28.78,12/31/2023,3/31/2024,39.96%,16.91%,6.10%,"5,833.73%",4.33B,29.76,7.00%,--,895.4M,1.73B,11.54,748.80%,812.5M,5.76,3.94B,949.23%,0.55,2.91,1.07B,848.26M,1.14,96.21%,21.83%,148.71,69.18,139.96,113.75,1.87M,1.07M,140.94M,312.22k,140.27M,0.67%,98.07%,3.09M,1.03,2.83%,2.20%,2.91M,--,--,0.0,0.00%,--,0.00%,--,--,--,--,,,,,,,,,,
