ticker,year,sector,current_ratio,quick_ratio,cash_ratio,operating_cashflow,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,asset_turnover,receivables_turnover,gross_margin,profit_margin,operating_margin,return_on_equity,return_on_assets,eps,p/e,result
ANSS,2019,Technology,2.498588897548817,2.498588897548817,1.4813507709135674,0.9241968340234809,0.8112603200770124,0.23264995865330942,0.1887396799229875,-8137.28813559322,0.4641484106989544,3.0405834484999588,0.7683825760674243,0.27665229449063655,0.31671121689407955,0.15828177420517545,0.12840772280404805,11.002096589385406,23.396450083019012,0.4097505682935425
ANSS,2020,Technology,2.0873547579257683,2.0873547579257683,1.4489896525035617,0.7027489799573743,0.763466630496158,0.3098149415517018,0.23653336950384193,-4635.209302325581,0.5715542066403478,4.651186659178869,0.5840015178757828,0.15419702765186638,0.23709552803579617,0.11543655778195243,0.08813195980586228,8.264042054739729,44.022039745588685,0.10699596622221698
ANTM,2017,Healthcare,1.5533561946151495,1.5533561946151495,1.0434590703833226,0.36288323770074354,0.383293886740172,1.6089641254254645,0.6167061132598279,-10.522292993630574,1.0396467124631992,8.2176492060595,0.37560661417672603,0.050772357272151826,0.09172783706648602,0.13771499141540408,0.052785314321999656,21.835227272727273,9.857073039149915,0.16627512567445127
ANTM,2018,Healthcare,1.6587200407955125,1.6587200407955125,1.0888152303246643,0.2575641679415264,0.40964197642441225,1.441156076651538,0.5903580235755878,-9.036241610738255,1.1889920338786102,8.862573380810316,0.2435199965251762,0.05219836900457157,0.07310160602013226,0.15150655572365104,0.06206344492789175,20.053475935828878,12.621058846028646,0.18234627503950457
ANTM,2019,Healthcare,1.5625312997951286,1.5625312997951286,1.0079672205781927,0.17423173230138858,0.398778835003004,1.5076556532707333,0.601221164996996,-7.872801082543979,1.4560646071732966,11.192353130705618,0.19379725943269488,0.03598433961539938,0.05582850343530495,0.13138993027574367,0.05239552332648698,3.3780744905130007,87.1617377296862,0.05158239635072574
ANTM,2020,Healthcare,1.5526203116972084,1.5526203116972084,1.053348176057544,0.17918307929439972,0.3757159058690105,1.6615854808889559,0.6242840941309895,-6.676470588235294,1.727643889991494,13.858085057994087,0.14616634391308628,0.03153411888272557,0.04097876390849115,0.1450024525525412,0.054479727814006236,20.32,15.612126147653173,0.46108155630711667
AON,2017,Financial Services,1.07176045431079,1.07176045431079,0.06252509608214306,0.1596397636666093,0.10883103942205892,8.16337625178827,0.8884287226754687,-8.733532934131736,0.31132839260135764,3.158925750394945,0.5175035007001401,0.1969393878775755,0.2917583516703341,0.563376251788269,0.06131282306782089,5.564330192618412,22.65920211528137,0.12051645508976569
AON,2018,Financial Services,1.0581208657119003,1.0581208657119003,0.05253355596943035,0.11784728020037248,0.11477639857167149,7.690666666666667,0.8827070226152015,-7.136807817589577,0.36626424077537834,3.3614232209737827,0.46128133704735375,0.14224698235840297,0.20343546889507894,0.4539259259259259,0.0520999829960891,5.146778497903164,27.44778204006619,0.4646869912040398
AON,2019,Financial Services,1.0809265944645006,1.0809265944645006,0.05543020457280385,0.12680505415162455,0.1571039285443948,5.348831606841725,0.8403224585572628,-6.460431654676259,0.41681174778593594,3.8332753219631046,0.4238627077090711,0.10296921819667665,0.1630799963679288,0.27318718381112983,0.0429187798047082,6.9531434380843455,29.393779586074867,-0.0027932281643303154
AON,2020,Financial Services,1.0722853782830262,1.0722853782830262,0.09321834574676598,0.05754606036848295,0.17567463968107944,4.678158411520838,0.8218337933149341,-6.581560283687943,0.4241796994786875,4.26929012345679,0.38026387131754924,0.11078980661485632,0.1677209470450027,0.2675103643901375,0.04699478687519166,8.936513987981773,23.411182005658013,0.4354635653209252
AAPL,2018,Technology,1.0745531195957954,1.126991337333939,0.4991911125987201,0.8291135709788733,0.17974256556942694,4.563512442542399,0.8202574344305731,-41.19054820415879,0.7566766001333326,5.156583698986526,0.5754475799619722,0.3564826145070502,0.41020727046819405,1.5007132667617689,0.26974205275183616,53.87420814479638,1.023228507826821,-0.022153429748912722
